Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1277935,35361223,2022,E-Katalog 5.0,APBD,PT. Abadinusa Usahasemesta,E-Purchasing,Pengadaan Barang,Calibra Plus Aneroid Sphygmomanometer,PROSES KONTRAK PPK,5017500,5017500
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1208356,34612679,2022,E-Katalog 5.0,APBD,PT Jayamas Medica Industri,E-Purchasing,Pengadaan Barang,Resuscitator Anak,PROSES KONTRAK PPK,920000,920000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1493242,35361223,2022,E-Katalog 5.0,APBD,PT. Safelock Medical,E-Purchasing,Pengadaan Barang,Oxygen Mask Dewasa,PROSES KONTRAK PPK,844800,844800
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1709253,37415151,2022,Pencatatan,APBDP,CV. MULIA JAYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Rehabilitasi Jalan SP. Salagedang - Sindang XIKab. Majalengka (Pemeliharaan Jalan SP.Salagedang - Sindang XI Kab. Majalengka)(Bankeu Provinsi)),PAKET SELESAI,199254000,199254000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1541361,34612679,2022,E-Katalog 5.0,APBD,PT Eisai Indonesia,E-Purchasing,Pengadaan Barang,Donepezil tablet dispersible /kaplet dispersible 10 mg,PROSES KONTRAK PPK,3471552,0
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,436904,34635929,2022,E-Katalog 5.0,APBD,PT. TRISOLAH UTAMA INDONESIA,E-Purchasing,Pengadaan Barang,LBR 300 Wifi Router,PROSES KONTRAK PPK,23850000,23850000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1824415,34612679,2022,E-Katalog 5.0,APBD,PT. PRIMESA LABORATORIES INDONESIA,E-Purchasing,Pengadaan Barang,MURILLO,PROSES KONTRAK PPK,17232750,17232750
KAB. MAJALENGKA,KECAMATAN MAJALENGKA - 7.01.0.00.0.00.05.0000,1857253,33249597,2022,Pencatatan,APBD,CV ADIDAYA GLOBAL ABADI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Air Irigasi Lainnya,PAKET SELESAI,149800000,149800000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1247253,34081387,2022,Pencatatan,APBD,CV DEVA PUTRA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199958000,199958000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - ,1717253,33999261,2022,Pencatatan,APBD,CV. MEKARWANGI,Pengadaan Langsung,Pengadaan Barang,Belanja Makanan dan Minuman Jamuan Tamu [-] Jamuan Tamu Tasyakur HUT RI,PAKET SELESAI,63910000,63910000
