Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,11773750,56788615,2025,E-Katalog 5.0,APBD,PT.GLOBAL DISPOMEDIKA,E-Purchasing,Pengadaan Barang,POSTOFIX PU Size 6 X 7 cm,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,314700,0
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,11315242,53971503,2025,E-Katalog 5.0,BLUD,KOPERASI SEKAR SUCI,E-Purchasing,Pengadaan Barang,MINYAK GORENG BIMOLI 2 LITER,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,28638000,28638000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,11893952,59764284,2025,E-Katalog 5.0,APBD,PT. ENDO MEDICA NUSANTARA,E-Purchasing,Pengadaan Barang,ZEPF 70-4200-09	HEGAR dilator double   9/10 mm,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,1460000,0
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,11404496,56314180,2025,E-Katalog 5.0,APBD,CV. DWI GUNA,E-Purchasing,Pengadaan Barang,PRASMANAN SET VICENZA,PROSES KONTRAK PPK,11800000,11800000
KAB. MAJALENGKA,PUSKESMAS MARGAJAYA - 1.02.0.00.0.00.01.0025,12001735,55784282,2025,E-Katalog 5.0,APBD,"Mitra Utama Alkesmed,PT",E-Purchasing,Pengadaan Barang,FOCCUS Infus Set Y Dewasa,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,4590000,0
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,11575572,56553322,2025,E-Katalog 5.0,APBD,CV. CHICCO,E-Purchasing,Pengadaan Barang,cetak berwarna full colour,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,10000500,10000500
KAB. MAJALENGKA,PUSKESMAS LIGUNG - 1.02.0.00.0.00.01.0011,11680662,55779000,2025,E-Katalog 5.0,APBD,kenara pelita raya,E-Purchasing,Pengadaan Barang,Cutter Kecil,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,36000,36000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,01KC5J4FDCHB69T4RWZQDFMDZV,62024431,2025,E-Katalog 6.0,BLUD,PURNAMA GLOBAL SAPUTRA,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin (Belanja Modal Peralatan Dapur),ON PROCESS,7750000,7750000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,11635615,54875171,2025,E-Katalog 5.0,APBD,PT. Harbat Farma,E-Purchasing,Pengadaan Barang,AMLODIPINE 10 MG,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,38500000,38500000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,11993194,54709461,2025,E-Katalog 5.0,APBD,CV. HASBI KARYA,E-Purchasing,Pengadaan Barang,Pasangan Batu TPT,PROSES KONTRAK PPK,74520000,74520000
